"","1A _DLD1_P_Gree_03.#m4_","1B_DLD1_P_Gree_04.#m4_","1C_DLD1_P_Gree_05.#m4_","1D_DLD1_P_Gree_06.#m4_","2A_DLD1_P_Gree_07.#m4_","2B_DLD1_P_Gree_08.#m4_","2C_DLD1_P_Gree_09.#m4_","2D_DLD1 _P_Gree_10.#m4_","3A_DLD1 _P_Gree_11.#m4_","3B_DLD1 _P_Gree_12.#m4_","3C_DLD1 _P_Gree_13.#m4_","3D DLD-1_P_Gree_03.#m4_","4A DLD-1_P_Gree_04.#m4_","4B DLD-1_P_Gree_05.#m4_","4C DLD-1_P_Gree_07.#m4_","4D DLD-1_P_Gree_08.#m4_"
"Bin Diameter (Center)","Diff.","Diff.","Diff.","Diff.","Diff.","Diff.","Diff.","Diff.","Diff.","Diff.","Diff.","Diff.","Diff.","Diff.","Diff.","Diff."
"um","Number","Number","Number","Number","Number","Number","Number","Number","Number","Number","Number","Number","Number","Number","Number","Number"
18.34,35,54,46,42,53,63,42,46,44,38,19,36,11,5,1,7
18.42,39,46,43,37,41,47,45,36,40,33,19,40,10,10,6,8
18.49,20,43,33,37,49,56,24,43,26,47,19,38,10,10,5,9
18.57,30,46,38,31,57,61,36,45,41,28,34,43,9,8,6,10
18.65,26,35,28,31,57,41,36,41,27,39,27,42,7,14,8,6
18.73,35,42,33,33,51,54,35,34,44,28,20,31,12,9,4,9
18.80,32,43,33,31,61,43,17,33,32,33,26,40,8,8,3,6
18.88,29,50,36,26,48,59,41,37,41,28,27,39,2,5,10,10
18.96,33,37,27,37,54,36,31,31,35,32,25,39,11,13,5,8
19.04,34,34,44,36,55,44,40,38,27,34,22,46,7,8,9,12
19.11,30,53,28,27,46,39,25,34,34,23,34,27,13,10,10,9
19.19,21,46,30,31,45,55,32,34,40,36,31,34,12,9,9,7
19.27,25,26,34,34,43,32,33,38,42,38,28,30,6,11,5,4
19.35,27,34,37,22,48,34,35,34,26,39,20,38,11,13,5,8
19.42,20,44,41,28,45,39,31,36,37,31,29,38,13,8,9,9
19.50,26,34,35,31,42,60,30,35,48,33,23,30,6,11,13,5
19.58,30,31,30,25,58,44,30,32,34,41,12,37,6,5,7,2
19.66,27,25,33,22,39,35,27,41,38,31,24,33,7,11,8,7
19.73,23,33,29,26,38,55,34,38,33,27,14,32,12,10,9,13
19.81,19,23,36,29,36,43,36,31,22,29,13,38,10,9,9,5
